text,true_label,true_name,pred_label,pred_name,correct,max_confidence
The ancient Silk Road was a network of trade routes connecting East Asia with the Mediterranean region for centuries.,2,Grok,1,DeepSeek,False,0.940254786224259
"Yet the brain responds strongly to tiny signals of progress. that mindset removed the pressure of perfection and allowed the routine to survive longer than any previous attempt at self-discipline. one morning, almost by accident, i decided that my only goal for the day would be to walk outside for t",5,ChatGPT,0,Human,False,0.9145949772780054
"The library of Alexandria in ancient Egypt functioned as a major center of scholarship, collecting thousands of scrolls containing knowledge from diverse civilizations.",2,Grok,1,DeepSeek,False,0.886414943950397
The improved efficiency of steam engines helped accelerate urbanization as people moved to cities for factory employment opportunities.,2,Grok,1,DeepSeek,False,0.82134360920769
"Quantum physics reveals that particles can exist in multiple states simultaneously and interact across distances, challenging classical notions of reality and locality.",1,DeepSeek,2,Grok,False,0.8145497102936468
"Telecommunication networks evolved from simple telegraph systems to 5G, progressively enabling faster, more reliable transmission of voice, data, and multimedia content.",1,DeepSeek,2,Grok,False,0.8001078089672582
Origami artists use precise crease patterns to recreate intricate models of animals and geometric shapes.,1,DeepSeek,2,Grok,False,0.7634561505976766
The Pomodoro Technique uses timed work intervals to enhance focus and prevent mental fatigue.,1,DeepSeek,2,Grok,False,0.7619887467932571
"Virtual reality immerses users in completely digital environments, while augmented reality overlays digital information onto the real world without replacing it.",1,DeepSeek,2,Grok,False,0.761155335272107
Cities often commission large-scale street art to revitalize run-down districts and attract tourism.,1,DeepSeek,2,Grok,False,0.7344181259909877
Artificial intelligence algorithms now assist doctors by analyzing medical images to detect patterns that might indicate diseases such as cancer at early stages.,2,Grok,1,DeepSeek,False,0.7304748188601942
"The impact of the steam engine during the Industrial Revolution extended far beyond factories, as it revolutionized transportation. George Stephenson's Rocket, a pioneering steam locomotive, won the Rainhill Trials in 1829, demonstrating the viability of steam for rail transport and ushering in the ",1,DeepSeek,2,Grok,False,0.709632618411426
"Savory Korean street food, like hotteok and tteokbokki, reflects the country's dynamic culinary history.",1,DeepSeek,2,Grok,False,0.6793247257402534
"The Maya's advanced astronomical knowledge was not merely academic but was integrated into the very fabric of their cities, as seen in structures like El Caracol at Chichen Itza, which functioned as an observatory. They tracked the synodic period of Venus with astonishing accuracy, associating the p",1,DeepSeek,2,Grok,False,0.6733181349943096
Sports psychology explores how techniques like visualization and goal-setting can enhance an athlete's motivation and overall performance during training and competition.,1,DeepSeek,2,Grok,False,0.6706057808450148
"In Antarctica, scientific bases serve as remote laboratories where researchers study glaciology, climate change, and unique extremophile organisms in a pristine environment.",1,DeepSeek,2,Grok,False,0.6658470289309026
"In ancient Greek theater, actors wore exaggerated masks to visually convey character traits and amplify their voices.",1,DeepSeek,2,Grok,False,0.6430022223709997
"Medium-sized stars like our Sun spend most of their lives fusing hydrogen into helium, maintaining equilibrium between gravitational collapse and outward pressure.",1,DeepSeek,2,Grok,False,0.6403106145109929
"Three-dimensional printing, also known as additive manufacturing, builds objects layer by layer from digital models using various materials.",2,Grok,1,DeepSeek,False,0.6254423483920839
"Galileo's use of the telescope for astronomical observation provided concrete evidence, such as Jupiter's moons, that supported the heliocentric model proposed by Copernicus.",1,DeepSeek,2,Grok,False,0.5995161566606786
"Researchers continue to explore graphene's potential in creating ultra-thin, flexible electronics that could revolutionize wearable devices and portable technology in the coming decades.",2,Grok,1,DeepSeek,False,0.5906594352943323
Augmented reality applications enhance real-world experiences by superimposing digital information onto physical environments through smartphone cameras or specialized glasses.,1,DeepSeek,2,Grok,False,0.5822010899498284
"The open-source software movement, with its philosophy of collaborative and transparent development, has fundamentally reshaped the technological landscape since its formal inception in the late 20th century. Rooted in the earlier hacker culture and the free software movement pioneered by Richard St",1,DeepSeek,4,Gemini,False,0.5686184840709037
"The International Space Station has continuously hosted astronauts from multiple nations since 2000, serving as a laboratory for microgravity scientific experiments.",2,Grok,1,DeepSeek,False,0.5676204475967661
Italian risotto requires constant stirring of Arborio rice cooked slowly in warm broth until it reaches a creamy consistency with tender grains.,2,Grok,1,DeepSeek,False,0.5659753964288254
"The aurora borealis, or northern lights, is a dazzling natural light display in the Earth's sky, predominantly seen in high-latitude regions. This phenomenon begins with the Sun, which constantly emits a stream of charged particles known as the solar wind. When these particles reach Earth, they are ",1,DeepSeek,2,Grok,False,0.5596224374650324
"The Italian Renaissance, a period of immense cultural and artistic flourishing from the 14th to the 17th century, was also a time of significant invention and innovation. In Florence, centers of art and engineering like workshops and foundries became hubs for creating new machines and refining exist",1,DeepSeek,2,Grok,False,0.5480824416897876
"Bees play an indispensable role in ecosystems as primary pollinators, facilitating the reproduction of countless plant species that form the base of many food webs.",1,DeepSeek,2,Grok,False,0.5473776410063441
Home gardeners often cultivate tomatoes during summer months because the plants thrive in warm temperatures and produce abundant fruit when properly supported and watered.,2,Grok,1,DeepSeek,False,0.5467839638569024
"During sleep, the body increases protein synthesis, which is essential for rebuilding muscle fibers that are broken down during intense physical exercise and weight training.",1,DeepSeek,2,Grok,False,0.542868764122667
"Between the 8th and 11th centuries, the Vikings, or Norsemen, embarked on extensive maritime explorations that dramatically expanded their known world. Using advanced longships, which were exceptionally durable and could navigate both open seas and shallow rivers, they traveled far beyond their Scan",1,DeepSeek,2,Grok,False,0.5392334785848253
"Ocean sailing demands a comprehensive understanding of maritime navigation, weather patterns, and self-sufficiency, as crews are isolated from immediate assistance for weeks.",1,DeepSeek,2,Grok,False,0.5326180229245996
"I did not like the idea of the female turtle at all since 1987 we knew to be brothers with their teacher Splinter and their enemies and each one of the brothers are named after the great name like Leonardo , Michelangleo, Raphel and Donatello so Venus here doesn'tt haev any meaning or playing any im",0,Human,2,Grok,False,0.5142809541124505
"Glaciers form in regions where snowfall exceeds melting over long periods, allowing accumulated snow to compress into dense firn and eventually solid ice that flows slowly under its own weight due to gravity.",2,Grok,1,DeepSeek,False,0.5124892473616333
"The restoration of antique furniture requires a thorough understanding of historical construction techniques, wood species, and original finishing methods used by craftsmen centuries ago. Professionals begin by assessing structural integrity, identifying previous repairs, and documenting all compone",2,Grok,1,DeepSeek,False,0.5085478612866402
"Auroras appear when solar particles excite atmospheric gases, producing distinctive colors determined by the type of gas and altitude of collision. Geomagnetic activity linked to solar cycles influences the visibility and extent of auroral displays in polar regions.",2,Grok,1,DeepSeek,False,0.49784667826439083
"Masks in Greek theater, such as those for tragedy or comedy, helped audiences identify stock characters from afar.",1,DeepSeek,2,Grok,False,0.4716729964638927
"The trade networks of the Silk Road were not continuous journeys but a series of segments, with goods often passing through many hands via middlemen in oasis cities like Samarkand and Bukhara. This system led to a blending of cultures, as Sogdian merchants, for example, became prominent traders and ",1,DeepSeek,2,Grok,False,0.44798765437405474
"Color psychology plays a significant role in marketing by influencing consumer perceptions, emotions, and purchasing decisions through strategic use of hues in branding, packaging, advertisements, and store design. Different colors evoke specific psychological responses based on both universal assoc",2,Grok,5,ChatGPT,False,0.4364758005633156
"'Vinland Saga' stands out as a profound and mature exploration of pacifism and redemption, set against the backdrop of one of history's most violent eras. Following the long and arduous journey of Thorfinn, a young Viking who is initially consumed by a singular, burning desire for revenge against hi",4,Gemini,0,Human,False,0.4199025147020876
"Such as solving equations or following instructions. in contrast, relaxed states of mind allow different regions of the brain to communicate more freely, producing connections that would not normally appear during concentrated effort. some composers reported hearing melodies emerge while they were w",5,ChatGPT,0,Human,False,0.3805569280368293
"'Attack on Titan' (Shingeki no Kyojin) is widely considered a modern masterpiece of dark fantasy, transcending the typical boundaries of the anime medium. At its core, the series explores the cyclical nature of hatred, the heavy cost of freedom, and the brutal reality of human conflict. Hajime Isaya",4,Gemini,1,DeepSeek,False,0.37208481283706085
"Stars follow a well-defined life cycle that begins in vast clouds of gas and dust called nebulae, where gravity gradually pulls material together to form dense cores. When sufficient mass accumulates, the core becomes hot and dense enough to initiate nuclear fusion, converting hydrogen into helium a",2,Grok,1,DeepSeek,False,0.3551474505509548
"Urban farming and vertical forests represent a transformative approach to integrating nature into the built environment of modern cities, addressing challenges like food security, air quality, and climate resilience. These initiatives range from rooftop community gardens and hydroponic warehouses to",1,DeepSeek,5,ChatGPT,False,0.32495376795469577
"Technology has fundamentally transformed the healthcare industry, revolutionizing how medical professionals diagnose diseases, treat patients, and manage chronic conditions. Over the past few decades, innovations in medical technology have saved millions of lives and continue to improve patient outc",3,Claude,5,ChatGPT,False,0.31871158684184153
"Long before modern satellites and digital maps existed, sailors navigated vast oceans using little more than careful observation and accumulated experience. Over time they developed an intuitive understanding of how the sky slowly shifted as the Earth rotated and moved along its orbit. This redundan",5,ChatGPT,0,Human,False,0.2908920401966921
"Desert ecosystems are defined by extreme aridity, receiving very little annual rainfall, which presents a formidable challenge for plant life. To survive, desert plants, known as xerophytes, have evolved remarkable adaptations to conserve water and withstand intense heat. Succulent plants like cacti",1,DeepSeek,2,Grok,False,0.2813675120795419
